415nm,445nm,480nm,515nm,555nm,560nm,585nm,590nm,610nm,630nm,645nm,680nm,705nm,730nm,760nm,810nm,860nm,900nm,940nm
47.266,724.099,146.295,107.043,101.434,70.352,35.404,34.564,21.098,12.852,4.679,6.77,6.687,9.799,7.205,6.834,5.006,8.783,8.79
61.735,1081.679,223.239,180.902,198.81,270.686,116.026,52.269,44.076,15.833,7.037,9.464,8.344,10.016,7.114,6.734,5.09,12.715,12.641
47.266,970.814,178.715,164.084,164.306,256.437,107.002,42.568,34.288,11.72,5.1,7.642,7.018,9.641,7.065,6.883,5.353,12.147,11.957
47.266,608.444,121.958,66.447,53.189,41.443,20.121,26.979,16.408,13.879,5.71,6.43,8.615,9.341,6.775,6.079,4.463,8.902,8.939
53.778,876.16,178.715,136.788,138.063,133.286,66.762,43.625,25.141,12.852,5.212,6.531,7.048,8.982,6.629,6.292,4.801,11.49,11.242
61.735,1212.678,223.239,223.336,245.444,227.186,102.228,65.708,38.274,17.438,6.993,9.21,8.783,10.918,7.756,7.324,5.53,12.483,12.951
53.778,876.16,178.715,164.084,164.306,251.56,121.18,47.046,41.12,12.154,6.126,7.879,7.482,9.602,7.302,7.497,5.994,11.39,11.503
53.778,876.16,161.29,125.627,130.701,74.821,37.042,42.568,38.904,14.44,6.806,10.083,8.875,11.721,8.206,7.353,5.415,9.147,9.281
33.518,662.503,112.007,75.298,74.523,92.737,43.904,24.091,18.693,8.953,5.004,5.675,6.713,7.429,5.492,5.068,3.777,7.468,7.482
53.778,970.814,199.123,180.902,198.81,193.579,78.486,50.884,34.364,14.155,6.293,9.656,8.748,12.06,8.654,8.004,5.899,12.12,12.052
71.598,1212.678,223.239,180.902,212.757,164.641,85.201,67.746,52.474,18.86,7.597,10.456,9.252,12.627,9.696,9.79,7.791,16.597,15.557
